scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
pre_genai_2019_baseline,False,73,1445249.8392842764,102.0,-59370.612491511274,8.0,0.058631815532300534,4913768.376388331,6199140.6631633965,28213583.483980335,28481111.13628971
pre_genai_2019_baseline,False,67,1155789.3332288004,96.0,-309703.22968786105,8.0,0.010000000000000002,3929618.8942661677,8279305.337175307,22562852.42632754,22710992.3665004
pre_genai_2019_baseline,False,70,1545485.7629044352,108.0,-395978.4960638897,8.0,0.067920870576994,5254564.893554337,28308514.11452393,30170348.689746924,30385583.23097116
pre_genai_2019_baseline,False,88,4879874.460828053,90.0,-97471.00355657423,8.0,0.07118862597192836,16591299.410375116,22830292.848608848,95262937.76313284,95974090.16240379
pre_genai_2019_baseline,False,61,965547.4477165791,139.00358726332485,-1049842.1303133857,8.0,0.1260382531891291,3282807.1559182974,7644190.2960373545,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,65,905656.0824627172,96.0,-1227112.4246966264,8.0,0.05583589518155368,3079179.87390532,6577113.666006568,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,86,4304659.324617267,78.0,-272647.118436511,8.0,0.06050344409762702,14635600.216295145,39956545.948699035,84033820.25998263,84807784.6333745
pre_genai_2019_baseline,False,64,855139.8732005683,126.0,-576362.7149819919,8.0,0.04866943608909171,2907427.596326594,7533114.660552823,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,59,738710.9173051581,125.07971355084482,-139247.6909810498,8.0,0.010000000000000002,2511575.677838854,5490389.086600365,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,70,1667496.7724210012,108.0,-651581.976891642,8.0,0.0350251294365891,5669395.481205966,8873079.003422853,32552198.32528474,32765924.879945703
pre_genai_2019_baseline,False,65,867340.6021581255,120.0,-49216.77908309433,8.0,0.05381220003247432,2948909.3903326876,10632345.211055603,19521596.00166598,19651499.984148137
pre_genai_2019_baseline,False,60,635125.3400927691,126.8683534546219,-1423935.2899911006,8.0,0.010000000000000002,2159390.5263717305,4648862.166538609,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,60,608135.2525971459,104.80429198425283,-452472.929411005,8.0,0.12115305371194901,2067625.743005537,6202404.567286559,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,80,2922035.7933314587,90.0,-393067.2803919073,8.0,0.03707575920127663,9934757.773823695,29594533.09069669,57042802.2598243,57540739.79032049
pre_genai_2019_baseline,False,83,4081043.174202747,108.0,-509141.5760630063,8.0,0.0793098604842731,13875317.849544827,33514516.82082006,79668476.1121426,80336944.25323968
pre_genai_2019_baseline,True,96,9590747.760464769,72.0,3198667.021079713,8.0,0.010000000000000002,32608004.35350839,60605713.440498225,187226703.133676,188455969.36637184
pre_genai_2019_baseline,False,62,1016624.7766534048,138.0,-839575.8319045983,8.0,0.010000000000000002,3456467.2089126306,4382274.691603342,19846138.175111677,19976441.102524027
pre_genai_2019_baseline,False,71,1473230.4181573372,108.0,-545074.3007334576,8.0,0.06696194325919494,5008900.774872163,12139222.488415902,28759809.040632978,28948636.06968764
pre_genai_2019_baseline,True,96,10018919.22493635,78.0,1525472.056584272,8.0,0.07207106871859577,34063763.31268894,94934209.80118997,195585293.4825319,196869439.34883136
pre_genai_2019_baseline,False,69,1239903.8738405483,84.0,-188984.2721386575,8.0,0.010000000000000002,4215603.6135982415,5306016.48699217,24204902.506015815,24388084.78756476
pre_genai_2019_baseline,False,72,1414465.888954615,102.0,-178515.0234229886,8.0,0.06317768476704105,4809104.672218601,17260083.648816273,27612631.642309338,27891832.24945405
pre_genai_2019_baseline,False,70,1313860.395767842,108.0,-708824.5217259506,8.0,0.0936333594744014,4467051.639258617,9734803.117544794,25648651.848768793,25818169.329763435
pre_genai_2019_baseline,False,75,1784783.916072183,84.0,-612128.0378681058,8.0,0.012382996803016428,6068165.189919791,6801798.782884235,34841830.559832476,35070590.05340713
pre_genai_2019_baseline,False,68,1324739.6720612284,120.0,-697845.7145734362,8.0,0.069525312624275,4504040.5683388,14368825.2999641,25861032.68535878,26059253.120787624
pre_genai_2019_baseline,False,66,970309.8001990158,96.0,-481076.04458297044,8.0,0.06598545713914374,3298998.8871950163,5943807.633702931,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,60,594376.6052595949,115.83632271943739,-55710.476495631505,8.0,0.010000000000000002,2020847.1139052436,4120597.408397157,19521596.00166598,19663872.42691689
pre_genai_2019_baseline,False,67,859904.6246080687,102.0,-952255.7152910538,8.0,0.010000000000000002,2923627.4838139517,7658252.617729271,19521596.00166598,19730738.649575222
pre_genai_2019_baseline,False,81,3421318.7301358613,84.0,-484392.50118040125,8.0,0.10039280906710511,11632291.749648064,25349322.90509156,66789602.04264518,67330927.18576142
pre_genai_2019_baseline,False,75,2305947.9827482095,84.0,-41224.72119200998,8.0,0.035299309694899944,7840093.779796548,16805144.960657265,45015784.92006718,45311343.10388581
pre_genai_2019_baseline,False,68,1131910.6337397953,90.0,-553008.3060969289,8.0,0.03509712825417823,3848432.6555764885,7812131.403754966,22096702.101857997,22263131.307452768
pre_genai_2019_baseline,False,58,876711.1395712215,133.41836112090112,-39268.76143486658,8.0,0.010000000000000002,2980768.6918587387,4939515.212382103,19521596.00166598,19657582.72426805
pre_genai_2019_baseline,False,67,1067977.0438898255,96.0,-638133.5702055893,8.0,0.03624051141872195,3631062.036701802,6352229.883643388,20848616.389870673,21072745.143263
pre_genai_2019_baseline,False,75,2530141.4813443753,114.0,-287025.28952804883,8.0,0.09921878806483758,8602339.097975763,27819840.039776016,49392399.8258616,49716693.36007181
